Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Integrated Surgical Center,CT,Healthcare Provider,500,08/29/2017,08/11/2017,Other,Electronic Medical Record,Archived,2017,18
St. Mary's Health Network,OH,Healthcare Provider,12241,08/28/2017,05/20/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,100
Pacific Surgical Center,RI,Healthcare Provider,917,01/01/2018,10/29/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,64
Central Medical Center,TX,Healthcare Provider,3704,08/13/2017,05/26/2017,Improper Disposal,Electronic Medical Record,Archived,2017,79
MedData Services,NC,Business Associate,194447,04/09/2017,03/03/2017,Theft,Laptop,Archived,2017,37
University Eye Care,UT,Healthcare Provider,500,04/29/2017,02/26/2017,Improper Disposal,Network Server,Archived,2017,62
Good Samaritan Medical Center,PA,Healthcare Provider,500,09/03/2017,06/15/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,80
Harmony Healthcare,VA,Healthcare Provider,500,11/14/2017,09/09/2017,Hacking/IT Incident,Paper/Films,Archived,2017,66
University Health Network,PA,Healthcare Provider,500,11/04/2017,08/15/2017,Theft,Paper/Films,Archived,2017,81
Integrated Clinical Associates,NY,Healthcare Provider,110236,05/28/2018,12/01/2017,Hacking/IT Incident,Network Server,Archived,2017,178
University Pharmacy,ND,Healthcare Provider,93843,01/06/2018,09/02/2017,Hacking/IT Incident,Network Server,Archived,2017,126
Horizon Family Practice,SC,Healthcare Provider,10725,08/11/2017,03/04/2017,Unauthorized Access/Disclosure,Email,Archived,2017,160
Cigna Healthcare,MD,Health Plan,3007,06/23/2017,02/11/2017,Hacking/IT Incident,Network Server,Archived,2017,132
PrimeHealth Analytics,NH,Business Associate,3988,04/16/2018,12/23/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,114
Mercy Urgent Care,ND,Healthcare Provider,2292,04/06/2017,03/13/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,24
Horizon Medical Center,FL,Healthcare Provider,2515,09/07/2017,08/19/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,19
Providence Health System,WV,Healthcare Provider,13335,05/15/2018,12/14/2017,Hacking/IT Incident,Network Server,Archived,2017,152
Lakeside Hospital,ME,Healthcare Provider,500,12/09/2017,11/13/2017,Hacking/IT Incident,Network Server,Archived,2017,26
University Healthcare,WV,Healthcare Provider,7505,02/09/2018,08/22/2017,Hacking/IT Incident,Email,Archived,2017,171
Alliance Surgical Center,AK,Healthcare Provider,6198,08/16/2017,04/14/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,124
University Healthcare,MN,Healthcare Provider,806,05/16/2017,04/20/2017,Hacking/IT Incident,Paper/Films,Archived,2017,26
Community Health Services,WV,Healthcare Provider,27865,07/31/2017,03/26/2017,Hacking/IT Incident,Desktop Computer,Archived,2017,127
Pacific Health System,CA,Healthcare Provider,500,05/28/2017,01/09/2017,Theft,Email,Archived,2017,139
Good Samaritan Home Health,NH,Healthcare Provider,500,10/18/2017,09/01/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,47
Central Family Practice,HI,Healthcare Provider,1758,01/02/2018,11/02/2017,Hacking/IT Incident,Network Server,Archived,2017,61
Legacy Health Plan,VT,Healthcare Provider,500,11/07/2017,09/29/2017,Unauthorized Access/Disclosure,Email,Archived,2017,39
Community Medical Center,MT,Healthcare Provider,851,01/20/2018,08/31/2017,Theft,Network Server,Archived,2017,142
Pacific Medical Group,FL,Healthcare Provider,4441,09/16/2017,08/21/2017,Theft,Email,Archived,2017,26
Pinnacle Health Plan,RI,Healthcare Provider,5035,10/16/2017,06/16/2017,Theft,Network Server,Archived,2017,122
National Dental Group,NV,Healthcare Provider,3819,05/26/2017,04/23/2017,Hacking/IT Incident,Other Portable Electronic Device,Archived,2017,33
Premier Clinical Associates,NH,Healthcare Provider,9910,07/21/2017,03/11/2017,Hacking/IT Incident,Network Server,Archived,2017,132
MedData Services,UT,Business Associate,139369,04/23/2017,03/11/2017,Hacking/IT Incident,Network Server,Archived,2017,43
ClinicalPath Software,NE,Business Associate,6623,05/13/2018,11/23/2017,Loss,Network Server,Archived,2017,171
Good Samaritan Hospital,UT,Healthcare Provider,500,10/04/2017,04/21/2017,Theft,Electronic Medical Record,Archived,2017,166
MedBridge Analytics,WV,Business Associate,878,01/03/2018,10/24/2017,Improper Disposal,Laptop,Archived,2017,71
Alliance Urgent Care,MS,Healthcare Provider,500,01/20/2018,08/29/2017,Loss,Electronic Medical Record,Archived,2017,144
Anthem Blue Cross,DE,Health Plan,500,07/19/2017,02/12/2017,Improper Disposal,Network Server,Archived,2017,157
Summit Eye Care,WI,Healthcare Provider,500,03/07/2017,02/16/2017,Loss,Electronic Medical Record,Archived,2017,19
Guardian Hospital,AL,Healthcare Provider,5002,07/08/2017,03/12/2017,Loss,Network Server,Archived,2017,118
Heritage Health System,MO,Healthcare Provider,10852,04/17/2017,01/17/2017,Theft,Network Server,Archived,2017,90
MedData Services,GA,Business Associate,720,03/30/2018,12/12/2017,Unauthorized Access/Disclosure,Email,Archived,2017,108
Heritage Health Services,WY,Healthcare Provider,500,11/15/2017,10/14/2017,Other,Network Server,Archived,2017,32
Cigna Healthcare,VT,Health Plan,5020,01/01/2018,10/25/2017,Hacking/IT Incident,Laptop,Archived,2017,68
Harmony Home Health,CT,Healthcare Provider,5874,02/28/2017,01/28/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,31
University Physicians Group,AL,Healthcare Provider,500,12/28/2017,09/30/2017,Loss,Email,Archived,2017,89
Wellspring Hospital,AZ,Healthcare Provider,5789,02/13/2018,12/23/2017,Hacking/IT Incident,Other,Archived,2017,52
Regional Family Practice,ME,Healthcare Provider,5439,10/27/2017,06/27/2017,Hacking/IT Incident,Network Server,Archived,2017,122
Pinnacle Urgent Care,DC,Healthcare Provider,5356,02/03/2018,10/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,102
Trinity Medical Group,DC,Healthcare Provider,690,11/12/2017,06/05/2017,Theft,Network Server,Archived,2017,160
Summit Medical Group,UT,Healthcare Provider,4853,03/18/2017,01/25/2017,Theft,Network Server,Archived,2017,52
Pinnacle Health Network,NY,Healthcare Provider,500,05/15/2017,03/20/2017,Hacking/IT Incident,Network Server,Archived,2017,56
CarePoint Technologies,MI,Business Associate,1210,04/24/2017,01/18/2017,Unauthorized Access/Disclosure,Other,Archived,2017,96
MedBridge Analytics,WY,Business Associate,1395,05/11/2017,01/13/2017,Improper Disposal,Other Portable Electronic Device,Archived,2017,118
Riverside Health Network,MD,Healthcare Provider,687,02/26/2018,11/28/2017,Theft,Other Portable Electronic Device,Archived,2017,90
Mountain Family Practice,NM,Healthcare Provider,1104,09/28/2017,09/03/2017,Hacking/IT Incident,Email,Archived,2017,25
Wellspring Health Plan,WA,Healthcare Provider,500,07/16/2017,06/17/2017,Theft,Paper/Films,Archived,2017,29
SecureHealth Corp,KY,Business Associate,1131,09/23/2017,08/17/2017,Unauthorized Access/Disclosure,Email,Archived,2017,37
American Rehabilitation Center,SD,Healthcare Provider,615,03/25/2018,12/08/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,107
Liberty Dental Group,ND,Healthcare Provider,500,01/22/2018,08/17/2017,Loss,Network Server,Archived,2017,158
Heritage Family Practice,MI,Healthcare Provider,500,08/25/2017,03/13/2017,Unauthorized Access/Disclosure,Desktop Computer,Archived,2017,165
Lakeside Physicians Group,UT,Healthcare Provider,5960,09/18/2017,05/20/2017,Hacking/IT Incident,Network Server,Archived,2017,121
Guardian Health Plan,NM,Healthcare Provider,43226,11/15/2017,06/04/2017,Hacking/IT Incident,Network Server,Archived,2017,164
Mercy Hospital,NV,Healthcare Provider,36723,02/27/2018,12/01/2017,Hacking/IT Incident,Network Server,Archived,2017,88
NovaCare Systems,NH,Business Associate,500,02/20/2018,10/17/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,126
HealthFirst IT,NJ,Business Associate,22058,11/10/2017,10/22/2017,Hacking/IT Incident,Network Server,Archived,2017,19
Premier Medical Center,OR,Healthcare Provider,106879,04/22/2017,03/25/2017,Hacking/IT Incident,Email,Archived,2017,28
UnitedHealth Group,ID,Health Plan,15828,01/18/2018,11/18/2017,Unauthorized Access/Disclosure,Desktop Computer,Archived,2017,61
Advanced Healthcare,DE,Healthcare Provider,500,08/27/2017,06/04/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,84
Kaiser Foundation,OR,Health Plan,500,09/12/2017,05/25/2017,Improper Disposal,Network Server,Archived,2017,110
Mountain Dental Group,MS,Healthcare Provider,1015,09/12/2017,04/07/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,158
Molina Healthcare of ID,ID,Health Plan,3105,08/24/2017,07/05/2017,Theft,Network Server,Archived,2017,50
Lakeside Physicians Group,WI,Healthcare Provider,101871,02/11/2018,12/22/2017,Hacking/IT Incident,Network Server,Archived,2017,51
Anthem Blue Cross,VT,Health Plan,38820,02/28/2017,02/09/2017,Hacking/IT Incident,Network Server,Archived,2017,19
Community Health System,IN,Healthcare Provider,11463,06/15/2017,01/31/2017,Hacking/IT Incident,Network Server,Archived,2017,135
Central Health Services,TX,Healthcare Provider,6443,06/14/2017,04/13/2017,Loss,Other Portable Electronic Device,Archived,2017,62
Cigna Healthcare,HI,Health Plan,35368,08/14/2017,03/24/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,143
Summit Pharmacy,MD,Healthcare Provider,48756,12/07/2017,09/28/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,70
Valley Medical Group,RI,Healthcare Provider,733,06/07/2018,12/24/2017,Loss,Other,Archived,2017,165
Aetna Health Plan,CO,Health Plan,1078,09/09/2017,07/28/2017,Unauthorized Access/Disclosure,Email,Archived,2017,43
Kaiser Foundation,IL,Health Plan,720,11/01/2017,05/28/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,157
Sacred Heart Dental Group,OR,Healthcare Provider,45789,04/25/2018,12/18/2017,Hacking/IT Incident,Network Server,Archived,2017,128
Harmony Healthcare,RI,Healthcare Provider,1836,04/02/2018,12/14/2017,Unauthorized Access/Disclosure,Email,Archived,2017,109
Summit Health System,OH,Healthcare Provider,795,11/16/2017,07/22/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,117
Good Samaritan Mental Health Services,SD,Healthcare Provider,1135,12/26/2017,08/06/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,142
Harmony Health Plan,NV,Healthcare Provider,7845,10/02/2017,08/21/2017,Theft,Network Server,Archived,2017,42
Valley Health System,HI,Healthcare Provider,1056,03/22/2018,12/14/2017,Theft,Email,Archived,2017,98
Horizon Pharmacy,IN,Healthcare Provider,500,10/20/2017,05/31/2017,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2017,142
Liberty Eye Care,LA,Healthcare Provider,58639,06/23/2017,03/02/2017,Hacking/IT Incident,Network Server,Archived,2017,113
Trinity Mental Health Services,NC,Healthcare Provider,4125,02/23/2018,12/28/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,57
Summit Home Health,IA,Healthcare Provider,8119,05/19/2018,12/17/2017,Hacking/IT Incident,Network Server,Archived,2017,153
Kaiser Foundation,MD,Health Plan,656,03/28/2018,12/13/2017,Hacking/IT Incident,Email,Archived,2017,105
Kaiser Foundation,NH,Health Plan,9439,11/16/2017,10/26/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,21
Trinity Health Network,ME,Healthcare Provider,500,04/16/2017,01/29/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,77
Legacy Dental Group,OK,Healthcare Provider,2470,06/01/2017,01/20/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,132
Cigna Healthcare,OH,Health Plan,19460,11/30/2017,10/21/2017,Hacking/IT Incident,Email,Archived,2017,40
Atlantic Urgent Care,OK,Healthcare Provider,500,02/10/2018,11/11/2017,Theft,Other,Archived,2017,91
Central Health Network,MA,Healthcare Provider,4414,11/10/2017,06/02/2017,Hacking/IT Incident,Network Server,Archived,2017,161
American Pharmacy,WI,Healthcare Provider,844,05/12/2017,02/09/2017,Hacking/IT Incident,Network Server,Archived,2017,92
Wellspring Medical Group,TX,Healthcare Provider,500,05/14/2018,12/10/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,155
HealthBridge IT Services,OK,Business Associate,1200,03/21/2018,09/30/2017,Unauthorized Access/Disclosure,Email,Archived,2017,172
Trinity Dental Group,RI,Healthcare Provider,19733,06/01/2017,03/17/2017,Unauthorized Access/Disclosure,Desktop Computer,Archived,2017,76
UnitedHealth Group,ME,Health Plan,3414,10/22/2017,07/31/2017,Hacking/IT Incident,Email,Archived,2017,83
Guardian Urgent Care,WI,Healthcare Provider,1623,05/01/2017,04/09/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,22
Good Samaritan Pharmacy,IN,Healthcare Provider,108545,06/15/2017,03/23/2017,Hacking/IT Incident,Desktop Computer,Archived,2017,84
CarePoint Technologies,IL,Business Associate,6237,02/09/2017,01/11/2017,Theft,Desktop Computer,Archived,2017,29
Lakeside Health Plan,ND,Healthcare Provider,109898,08/13/2017,07/06/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,38
Mercy Healthcare,IL,Healthcare Provider,28413,03/23/2018,10/25/2017,Theft,Network Server,Archived,2017,149
Pacific Physicians Group,OH,Healthcare Provider,500,09/01/2017,05/01/2017,Other,Network Server,Archived,2017,123
Pinnacle Pharmacy,GA,Healthcare Provider,6407,02/07/2018,09/09/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,151
Community Medical Center,ID,Healthcare Provider,500,10/09/2017,07/08/2017,Theft,Paper/Films,Archived,2017,93
HealthBridge IT Services,AL,Business Associate,500,12/03/2017,06/08/2017,Loss,Network Server,Archived,2017,178
Mercy Family Practice,VT,Healthcare Provider,235804,10/09/2017,07/21/2017,Hacking/IT Incident,Laptop,Archived,2017,80
Aetna Health Plan,MO,Health Plan,966,03/25/2018,11/26/2017,Loss,Other Portable Electronic Device,Archived,2017,119
MedSecure Solutions,OH,Business Associate,500,10/21/2017,06/20/2017,Hacking/IT Incident,Network Server,Archived,2017,123
National Medical Group,TX,Healthcare Provider,500,01/14/2018,10/08/2017,Theft,Paper/Films,Archived,2017,98
Mountain Medical Group,IL,Healthcare Provider,67321,02/19/2018,11/18/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,93
Pinnacle Eye Care,DC,Healthcare Provider,500,08/22/2017,03/08/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,167
Advanced Medical Group,OR,Healthcare Provider,8141,09/12/2017,06/17/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,87
HealthFirst IT,ME,Business Associate,2044,01/31/2017,01/11/2017,Theft,Laptop,Archived,2017,20
Riverside Health System,IN,Healthcare Provider,1307,01/14/2018,07/25/2017,Other,Network Server,Archived,2017,173
Centene Corp,UT,Health Plan,19138,01/31/2018,09/27/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,126
Heritage Family Practice,AZ,Healthcare Provider,500,01/01/2018,09/11/2017,Theft,Network Server,Archived,2017,112
Guardian Health System,ME,Healthcare Provider,681,08/25/2017,05/08/2017,Hacking/IT Incident,Network Server,Archived,2017,109
American Clinical Associates,SD,Healthcare Provider,4211,02/25/2018,12/18/2017,Hacking/IT Incident,Email,Archived,2017,69
Memorial Clinical Associates,NY,Healthcare Provider,500,04/24/2018,11/07/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,168
Wellspring Dental Group,CO,Healthcare Provider,24960,11/04/2017,06/23/2017,Hacking/IT Incident,Network Server,Archived,2017,134
Pinnacle Urgent Care,NJ,Healthcare Provider,15549,10/10/2017,05/16/2017,Theft,Network Server,Archived,2017,147
Providence Medical Group,FL,Healthcare Provider,17221,09/11/2017,08/14/2017,Hacking/IT Incident,Network Server,Archived,2017,28
Harmony Eye Care,SD,Healthcare Provider,3220,10/06/2017,09/11/2017,Unauthorized Access/Disclosure,Desktop Computer,Archived,2017,25
MedSecure Solutions,VA,Business Associate,9955,04/25/2017,02/17/2017,Hacking/IT Incident,Email,Archived,2017,67
Anthem Blue Cross,VA,Health Plan,1090,06/01/2017,01/03/2017,Improper Disposal,Network Server,Archived,2017,149
Mountain Mental Health Services,RI,Healthcare Provider,500,07/09/2017,06/18/2017,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2017,21
Beacon Eye Care,SD,Healthcare Provider,2010,02/19/2017,01/15/2017,Theft,Network Server,Archived,2017,35
PrimeHealth Analytics,CO,Business Associate,2638,07/16/2017,01/23/2017,Other,Laptop,Archived,2017,174
University Pharmacy,FL,Healthcare Provider,799,07/23/2017,01/25/2017,Other,Network Server,Archived,2017,179
Summit Mental Health Services,AZ,Healthcare Provider,7177,08/30/2017,07/24/2017,Theft,Network Server,Archived,2017,37
Trinity Health Services,OK,Healthcare Provider,716,06/02/2017,03/03/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,91
American Health System,NE,Healthcare Provider,1840,12/09/2017,08/17/2017,Theft,Paper/Films,Archived,2017,114
Guardian Health Plan,MN,Healthcare Provider,11434,09/14/2017,08/07/2017,Theft,Electronic Medical Record,Archived,2017,38
American Health System,UT,Healthcare Provider,500,04/26/2018,11/28/2017,Improper Disposal,Email,Archived,2017,149
National Pharmacy,MD,Healthcare Provider,500,08/20/2017,06/03/2017,Hacking/IT Incident,Network Server,Archived,2017,78
St. Mary's Rehabilitation Center,NE,Healthcare Provider,4980,07/01/2017,02/18/2017,Hacking/IT Incident,Network Server,Archived,2017,133
Alliance Medical Center,VA,Healthcare Provider,914,04/17/2018,12/05/2017,Hacking/IT Incident,Desktop Computer,Archived,2017,133
Horizon Medical Group,IN,Healthcare Provider,14056,12/29/2017,08/21/2017,Hacking/IT Incident,Network Server,Archived,2017,130
Summit Urgent Care,CA,Healthcare Provider,5360,01/26/2017,01/10/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,16
Advanced Mental Health Services,HI,Healthcare Provider,500,12/08/2017,09/07/2017,Loss,Network Server,Archived,2017,92
RxTech Solutions,AZ,Business Associate,704,03/13/2017,01/09/2017,Theft,Email,Archived,2017,63
Guardian Health Services,WY,Healthcare Provider,500,12/05/2017,10/03/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,63
CloudMed Solutions,IA,Business Associate,500,05/03/2018,12/26/2017,Loss,Email,Archived,2017,128
American Dental Group,OH,Healthcare Provider,1907,08/17/2017,07/20/2017,Loss,Electronic Medical Record,Archived,2017,28
Legacy Health Network,NV,Healthcare Provider,526,06/22/2017,05/29/2017,Theft,Other Portable Electronic Device,Archived,2017,24
University Clinical Associates,NM,Healthcare Provider,957,05/13/2017,01/10/2017,Loss,Network Server,Archived,2017,123
Regional Medical Group,OK,Healthcare Provider,2446,03/10/2018,11/27/2017,Hacking/IT Incident,Network Server,Archived,2017,103
HealthBridge IT Services,MN,Business Associate,1745,10/05/2017,04/23/2017,Theft,Desktop Computer,Archived,2017,165
NovaCare Systems,RI,Business Associate,1697,09/22/2017,05/31/2017,Theft,Paper/Films,Archived,2017,114
Summit Urgent Care,WA,Healthcare Provider,2743,07/02/2017,02/14/2017,Hacking/IT Incident,Network Server,Archived,2017,138
Anthem Blue Cross,MN,Health Plan,7435,10/08/2017,09/15/2017,Hacking/IT Incident,Network Server,Archived,2017,23
Molina Healthcare of WY,WY,Health Plan,18885,10/07/2017,06/24/2017,Hacking/IT Incident,Network Server,Archived,2017,105
Guardian Healthcare,CT,Healthcare Provider,8043,01/19/2018,12/09/2017,Other,Paper/Films,Archived,2017,41
Summit Healthcare,OH,Healthcare Provider,500,07/30/2017,02/22/2017,Loss,Laptop,Archived,2017,158
Riverside Rehabilitation Center,OH,Healthcare Provider,41456,01/06/2018,08/15/2017,Hacking/IT Incident,Network Server,Archived,2017,144
Horizon Family Practice,IA,Healthcare Provider,500,08/17/2017,08/01/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,16
Wellspring Dental Group,MI,Healthcare Provider,500,12/27/2017,07/04/2017,Theft,Network Server,Archived,2017,176
BlueCross BlueShield of AL,AL,Health Plan,3499,01/17/2018,08/23/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,147
Summit Dental Group,KY,Healthcare Provider,22761,03/13/2017,02/05/2017,Hacking/IT Incident,Paper/Films,Archived,2017,36
VitalConnect Inc,SD,Business Associate,500,11/20/2017,10/22/2017,Theft,Email,Archived,2017,29
PrimeHealth Analytics,ND,Business Associate,7661,05/20/2018,12/15/2017,Hacking/IT Incident,Network Server,Archived,2017,156
Liberty Rehabilitation Center,KS,Healthcare Provider,807,12/02/2017,07/26/2017,Loss,Paper/Films,Archived,2017,129
Integrated Health Services,MN,Healthcare Provider,500,07/10/2017,06/04/2017,Unauthorized Access/Disclosure,Email,Archived,2017,36
Summit Hospital,NH,Healthcare Provider,7467,11/04/2017,06/09/2017,Hacking/IT Incident,Paper/Films,Archived,2017,148
National Healthcare Clearinghouse,GA,Healthcare Clearinghouse,1121,10/06/2017,06/05/2017,Loss,Network Server,Archived,2017,123
Memorial Eye Care,NE,Healthcare Provider,36875,01/15/2018,11/30/2017,Hacking/IT Incident,Network Server,Archived,2017,46
CarePoint Technologies,MA,Business Associate,61719,04/18/2018,11/18/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,151
Valley Surgical Center,TN,Healthcare Provider,4078,07/02/2017,03/13/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,111
Aetna Health Plan,IL,Health Plan,4242,07/18/2017,03/17/2017,Hacking/IT Incident,Laptop,Archived,2017,123
Wellspring Mental Health Services,NM,Healthcare Provider,3049,12/05/2017,07/09/2017,Loss,Email,Archived,2017,149
Guardian Health Services,NV,Healthcare Provider,1401,05/15/2017,03/25/2017,Other,Email,Archived,2017,51
Advanced Healthcare,NJ,Healthcare Provider,500,01/05/2018,08/22/2017,Theft,Network Server,Archived,2017,136
Trinity Rehabilitation Center,AL,Healthcare Provider,15751,06/18/2017,01/21/2017,Hacking/IT Incident,Email,Archived,2017,148
Sacred Heart Physicians Group,WI,Healthcare Provider,4475,02/28/2018,10/29/2017,Hacking/IT Incident,Electronic Medical Record,Archived,2017,122
WellCare Health Plans,IA,Health Plan,35051,11/29/2017,08/20/2017,Hacking/IT Incident,Network Server,Archived,2017,101
Pinnacle Health System,ND,Healthcare Provider,809,04/16/2018,12/08/2017,Theft,Electronic Medical Record,Archived,2017,129
Liberty Clinical Associates,MT,Healthcare Provider,3811,10/31/2017,07/22/2017,Theft,Desktop Computer,Archived,2017,101
Central Physicians Group,GA,Healthcare Provider,1372,04/02/2018,12/29/2017,Other,Email,Archived,2017,94
Pacific Hospital,KS,Healthcare Provider,6622,10/04/2017,09/15/2017,Hacking/IT Incident,Network Server,Archived,2017,19
Community Urgent Care,WV,Healthcare Provider,831,03/20/2018,10/01/2017,Loss,Network Server,Archived,2017,170
Mountain Healthcare,IL,Healthcare Provider,500,01/02/2018,09/28/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,96
MedBridge Analytics,RI,Business Associate,500,06/21/2017,03/20/2017,Hacking/IT Incident,Other,Archived,2017,93
United Surgical Center,MI,Healthcare Provider,535,09/24/2017,06/02/2017,Hacking/IT Incident,Other Portable Electronic Device,Archived,2017,114
Integrated Healthcare,AR,Healthcare Provider,5973,09/20/2017,05/02/2017,Hacking/IT Incident,Network Server,Archived,2017,141
Good Samaritan Pharmacy,TX,Healthcare Provider,500,05/14/2017,01/15/2017,Other,Electronic Medical Record,Archived,2017,119
Central Home Health,CT,Healthcare Provider,39829,06/06/2017,03/06/2017,Hacking/IT Incident,Other,Archived,2017,92
Guardian Family Practice,CA,Healthcare Provider,503,01/09/2018,08/05/2017,Theft,Network Server,Archived,2017,157
Heritage Healthcare Clearinghouse,NH,Healthcare Clearinghouse,1383,04/06/2018,12/15/2017,Unauthorized Access/Disclosure,Email,Archived,2017,112
Molina Healthcare of ND,ND,Health Plan,500,09/06/2017,07/22/2017,Other,Desktop Computer,Archived,2017,46
Liberty Clinical Associates,VT,Healthcare Provider,1797,09/22/2017,06/12/2017,Hacking/IT Incident,Other,Archived,2017,102
Lakeside Hospital,DE,Healthcare Provider,1759,02/10/2018,11/03/2017,Theft,Network Server,Archived,2017,99
University Pharmacy,DC,Healthcare Provider,29629,01/01/2018,09/08/2017,Hacking/IT Incident,Desktop Computer,Archived,2017,115
Anthem Blue Cross,SC,Health Plan,659,10/19/2017,06/30/2017,Hacking/IT Incident,Paper/Films,Archived,2017,111
Good Samaritan Rehabilitation Center,TX,Healthcare Provider,46296,09/02/2017,08/16/2017,Hacking/IT Incident,Paper/Films,Archived,2017,17
Community Healthcare Clearinghouse,AL,Healthcare Clearinghouse,12062,07/07/2017,04/24/2017,Hacking/IT Incident,Laptop,Archived,2017,74
Legacy Urgent Care,MO,Healthcare Provider,59842,10/06/2017,04/11/2017,Hacking/IT Incident,Network Server,Archived,2017,178
Lakeside Health System,WV,Healthcare Provider,14505,04/13/2018,11/05/2017,Hacking/IT Incident,Other Portable Electronic Device,Archived,2017,159
St. Mary's Healthcare Clearinghouse,DE,Healthcare Clearinghouse,500,01/03/2018,12/14/2017,Theft,Laptop,Archived,2017,20
MedData Services,CO,Business Associate,500,01/08/2018,12/11/2017,Loss,Network Server,Archived,2017,28
Providence Medical Center,NY,Healthcare Provider,4120,12/27/2017,09/11/2017,Hacking/IT Incident,Network Server,Archived,2017,107
Regional Health Plan,NE,Healthcare Provider,500,07/19/2017,04/10/2017,Other,Network Server,Archived,2017,100
Valley Hospital,NH,Healthcare Provider,2073,07/03/2017,03/26/2017,Unauthorized Access/Disclosure,Paper/Films,Archived,2017,99
Mercy Surgical Center,IA,Healthcare Provider,1171,09/08/2017,06/21/2017,Loss,Paper/Films,Archived,2017,79
Valley Eye Care,VT,Healthcare Provider,500,07/25/2017,02/07/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,168
National Family Practice,CT,Healthcare Provider,566,03/22/2017,02/03/2017,Theft,Network Server,Archived,2017,47
NovaCare Systems,DC,Business Associate,933,10/12/2017,07/30/2017,Theft,Email,Archived,2017,74
Regional Eye Care,ME,Healthcare Provider,4222,05/06/2018,11/14/2017,Unauthorized Access/Disclosure,Email,Archived,2017,173
St. Mary's Rehabilitation Center,AR,Healthcare Provider,908,09/18/2017,04/10/2017,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2017,161
American Home Health,WV,Healthcare Provider,500,02/22/2017,01/23/2017,Other,Paper/Films,Archived,2017,30
Horizon Family Practice,ID,Healthcare Provider,2189,05/07/2017,03/16/2017,Unauthorized Access/Disclosure,Network Server,Archived,2017,52
National Dental Group,NM,Healthcare Provider,8989,04/15/2017,01/30/2017,Hacking/IT Incident,Other,Archived,2017,75
Guardian Surgical Center,IA,Healthcare Provider,599,05/18/2017,02/05/2017,Loss,Email,Archived,2017,102
Community Urgent Care,DC,Healthcare Provider,1429,08/13/2017,06/18/2017,Hacking/IT Incident,Network Server,Archived,2017,56
Horizon Mental Health Services,AK,Healthcare Provider,68724,01/24/2018,11/16/2017,Hacking/IT Incident,Network Server,Archived,2017,69
Riverside Family Practice,GA,Healthcare Provider,5762,05/24/2017,02/07/2017,Unauthorized Access/Disclosure,Email,Archived,2017,106
Providence Clinical Associates,VA,Healthcare Provider,1300,03/22/2017,01/16/2017,Theft,Network Server,Archived,2017,65
CloudMed Solutions,OH,Business Associate,35093,03/13/2017,01/12/2017,Loss,Network Server,Archived,2017,60
